1635738900000,60201.3,60278.7,59674.0,59959.8,454.165,1635739199999,27248267.6425,7584,188.337,11304280.5721,0
1635739200000,59959.7,59973.8,59329.8,59784.0,821.900,1635739499999,49096731.8635,12834,368.854,22039174.7382,0
1635739500000,59783.9,59968.8,59687.6,59934.1,220.059,1635739799999,13167827.9427,3627,125.978,7538641.4341,0
1635739800000,59934.2,60355.5,59848.4,60286.2,385.040,1635740099999,23144518.7609,5929,243.211,14622199.6359,0
1635740100000,60287.7,60344.3,60181.0,60269.7,117.728,1635740399999,7095679.5596,1927,45.672,2752257.1159,0
1635740400000,60269.7,60387.4,60209.3,60387.4,140.783,1635740699999,8490912.3607,2125,68.730,4146242.9118,0
1635740700000,60387.3,60397.0,60298.5,60308.8,87.085,1635740999999,5255193.4038,1455,27.906,1684049.6845,0
1635741000000,60308.8,60778.8,60308.8,60649.8,255.953,1635741299999,15509620.7062,4422,155.831,9439859.7440,0
1635741300000,60652.0,60692.7,60561.4,60613.6,70.362,1635741599999,4264227.3173,1280,24.441,1481317.6283,0
1635741600000,60613.6,60690.0,60595.5,60656.7,30.316,1635741899999,1838743.8354,612,16.185,981607.1094,0
1635741900000,60656.8,60704.1,60562.8,60571.7,105.113,1635742199999,6375500.5145,1748,53.229,3228801.2274,0
1635742200000,60573.2,60640.6,60486.8,60620.8,105.004,1635742499999,6359790.5543,1714,55.432,3357258.6529,0
1635742500000,60611.8,60624.7,60556.2,60556.2,35.125,1635742799999,2128247.7982,603,16.764,1015759.4214,0
1635742800000,60551.1,60643.2,60493.1,60564.1,58.876,1635743099999,3565419.0751,1129,35.442,2146420.1648,0
1635743100000,60553.1,60590.4,60503.8,60584.8,29.020,1635743399999,1757044.0682,550,16.116,975812.4621,0
1635743400000,60584.7,60917.2,60584.7,60755.2,249.272,1635743699999,15139632.2844,3937,157.858,9585289.9596,0
1635743700000,60755.2,60762.1,60667.4,60727.1,44.474,1635743999999,2700259.9439,754,17.991,1092497.8549,0
1635744000000,60727.1,60918.2,60715.0,60810.8,84.631,1635744299999,5147605.3492,1602,57.376,3489606.7717,0
1635744300000,60810.8,60813.9,60696.8,60711.0,85.334,1635744599999,5183529.7304,1319,31.636,1921626.7340,0
1635744600000,60711.0,60747.2,60701.0,60720.1,29.054,1635744899999,1764333.8640,472,15.464,939037.6733,0
